epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.305,1.59099,1.3196,1.03529,0.68741,0.62384,0.70026,0.46559,1.39635,1.21057,0.99675,0.000666285,0.000666285,0.000666285
2,541.933,1.24619,0.95884,0.93461,0.72949,0.66999,0.75804,0.53214,1.29661,1.04808,0.97283,0.00128896,0.00128896,0.00128896
3,819.92,1.17267,0.899,0.91902,0.72933,0.68181,0.76887,0.54176,1.25177,0.98905,0.95625,0.00186764,0.00186764,0.00186764
4,1100.68,1.13055,0.86351,0.91025,0.75927,0.7085,0.80118,0.57954,1.23107,0.9286,0.95588,0.001802,0.001802,0.001802
5,1355.84,1.0999,0.8326,0.90411,0.5781,0.61666,0.62406,0.44946,1.24104,1.23817,0.95807,0.001736,0.001736,0.001736
6,1611.81,1.08421,0.82032,0.90058,0.7882,0.73651,0.83459,0.61881,1.18781,0.86737,0.94239,0.00167,0.00167,0.00167
7,1866.44,1.05914,0.80034,0.89591,0.74362,0.71519,0.80072,0.58929,1.18756,0.94581,0.93948,0.001604,0.001604,0.001604
8,2119.43,1.04895,0.78504,0.8942,0.7717,0.72515,0.82336,0.62074,1.16019,0.85648,0.93289,0.001538,0.001538,0.001538
9,2374.06,1.03497,0.77357,0.8912,0.75997,0.72453,0.81279,0.60597,1.16351,0.85754,0.93589,0.001472,0.001472,0.001472
10,5393.5,1.02562,0.76773,0.88959,0.79549,0.74205,0.84187,0.63407,1.14891,0.85407,0.93085,0.001406,0.001406,0.001406
11,5649.14,1.01517,0.75747,0.88701,0.78873,0.7469,0.83968,0.63605,1.13767,0.83338,0.92815,0.00134,0.00134,0.00134
12,5903.79,1.00343,0.74504,0.88487,0.81017,0.75637,0.85565,0.6494,1.14575,0.83369,0.93018,0.001274,0.001274,0.001274
13,6157.71,0.99636,0.74046,0.8839,0.78784,0.74435,0.83857,0.63842,1.13162,0.82646,0.92486,0.001208,0.001208,0.001208
14,6411.36,0.99306,0.73682,0.88382,0.80625,0.76198,0.857,0.652,1.12999,0.81551,0.92602,0.001142,0.001142,0.001142
15,6667.7,0.98565,0.72989,0.88112,0.81313,0.76521,0.86137,0.65753,1.11636,0.80414,0.92285,0.001076,0.001076,0.001076
16,6921.79,0.98041,0.72554,0.88142,0.82235,0.76592,0.86677,0.66382,1.12047,0.80573,0.92397,0.00101,0.00101,0.00101
17,7176.04,0.97049,0.71549,0.87835,0.79703,0.76322,0.85195,0.65195,1.11595,0.80268,0.92226,0.000944,0.000944,0.000944
18,8466.54,0.96855,0.71679,0.87855,0.81314,0.76715,0.86375,0.66356,1.11019,0.79614,0.92074,0.000878,0.000878,0.000878
19,8720.31,0.96275,0.70798,0.87766,0.82078,0.77322,0.87039,0.66942,1.1103,0.79273,0.92093,0.000812,0.000812,0.000812
20,8973.98,0.95611,0.70183,0.87624,0.79316,0.76292,0.84967,0.65495,1.10654,0.79563,0.91967,0.000746,0.000746,0.000746
21,9235.77,0.91917,0.6875,0.87244,0.82461,0.77488,0.87183,0.66946,1.10644,0.79096,0.91963,0.00068,0.00068,0.00068
22,9684.51,0.90679,0.67321,0.87035,0.82702,0.77929,0.87505,0.67413,1.09941,0.77963,0.9172,0.000614,0.000614,0.000614
23,9928.2,0.90283,0.66946,0.86898,0.82976,0.77928,0.87651,0.67542,1.09664,0.78137,0.91746,0.000548,0.000548,0.000548
24,10164.6,0.89426,0.66022,0.86744,0.83117,0.78207,0.87831,0.67771,1.09318,0.77581,0.91603,0.000482,0.000482,0.000482
25,10399.6,0.88625,0.65461,0.86624,0.83566,0.78599,0.88209,0.68242,1.09013,0.77027,0.9148,0.000416,0.000416,0.000416
26,10635.2,0.88387,0.64928,0.8653,0.83574,0.78623,0.88238,0.68181,1.08989,0.76677,0.91454,0.00035,0.00035,0.00035
27,10871.5,0.87767,0.64328,0.86504,0.83378,0.78432,0.88046,0.6808,1.08923,0.76763,0.91463,0.000284,0.000284,0.000284
28,11108.1,0.87051,0.63679,0.86304,0.8381,0.78637,0.88325,0.68381,1.08621,0.76378,0.91324,0.000218,0.000218,0.000218
29,11343.9,0.86827,0.63535,0.86337,0.83588,0.7849,0.88176,0.6829,1.08652,0.76393,0.9134,0.000152,0.000152,0.000152
30,11580.4,0.86179,0.62904,0.86186,0.83679,0.78669,0.88278,0.68425,1.08425,0.76225,0.91286,8.6e-05,8.6e-05,8.6e-05
